380,0.00866869
390,0.00894526
400,0.00888074
410,0.0199612
420,0.125553
430,0.756441
440,3.086706
450,5.621187
460,3.724944
470,1.596098
480,0.735464
490,0.453483
500,0.586971
510,1.270205
520,2.319164
530,3.155045
540,3.351078
550,3.055647
560,2.528851
570,2.012449
580,1.679371
590,1.703318
600,1.897687
610,1.891463
620,1.761506
630,1.606709
640,1.423852
650,1.231464
660,1.001997
670,0.795378
680,0.613818
690,0.472718
700,0.360774
710,0.269768
720,0.200828
730,0.14522
370,0.00746439
373,0.00885144
377,0.0105651
380,0.00953079
383,0.00885443
387,0.00866685
390,0.0082892
393,0.00910676
397,0.00869627
400,0.00847694
403,0.0107064
407,0.0135581
410,0.0177326
413,0.0281592
417,0.0527162
420,0.105359
423,0.205043
427,0.37393
430,0.652593
433,1.114882
437,1.850978
440,2.915012
443,4.231556
447,5.454964
450,6.012831
453,5.614529
457,4.628068
460,3.574655
463,2.719681
467,2.056048
470,1.535294
473,1.153975
477,0.897451
480,0.722087
483,0.591849
487,0.492687
490,0.430292
493,0.414319
497,0.4521
500,0.548832
503,0.715159
507,0.945775
510,1.236211
513,1.590105
517,1.972167
520,2.327512
523,2.652168
527,2.947453
530,3.186028
533,3.333703
537,3.393537
540,3.387228
543,3.319432
547,3.208344
550,3.064098
553,2.896083
557,2.71214
560,2.51693
563,2.321777
567,2.141765
570,1.985878
573,1.847331
577,1.726499
580,1.640002
583,1.603568
587,1.619455
590,1.682935
593,1.773414
597,1.856718
600,1.9095
603,1.929302
607,1.923207
610,1.900715
613,1.861714
617,1.810139
620,1.757675
623,1.711197
627,1.666369
630,1.608142
633,1.540099
637,1.475995
640,1.419304
643,1.361358
647,1.29467
650,1.22399
653,1.152052
657,1.07648
660,0.995937
663,0.918713
667,0.849776
670,0.788096
673,0.726098
677,0.664966
680,0.607286
683,0.556445
687,0.510429
690,0.467912
693,0.428916
697,0.39179
700,0.356921
703,0.32448
707,0.29461
710,0.267077
713,0.242888
717,0.219502
720,0.196672
723,0.176666
727,0.158259
730,0.142293
